State,Laws
Alabama,5
Alaska,4
Arizona,5
Arkansas,4
California,2
Colorado,2
Connecticut,2
Delaware,5
Florida,5
Georgia,4
Hawaii,2
Idaho,4
Illinois,2
Nevada,2
New Hampshire,2
New Jersey,2
New Mexico,2
New York,2
North Carolina,4
North Dakota,2
Ohio,2
Oklahoma,4
Oregon,2
Pennsylvania,2
Rhode Island,2
South Carolina,4
South Dakota,4
Tennessee,5
Texas,4
Utah,2
Vermont,1
Virginia,6
Washington,2
West Virginia,4
Wisconsin,4
Wyoming,5
Indiana,2
Iowa,5
Kansas,4
Kentucky,5
Louisiana,3
Maine,1
Maryland,2
Massachusetts,2
Michigan,2
Minnesota,2
Mississippi,5
Missouri,4
Montana,2
Nebraska,4
District of Columbia,1
